US36 Express lanes,,,,,,,
Westbound License Plate Rate,,,,,,,
Time of Day,Lowell,Sheridan,Promenade,Wadsworth,Interlocken,McCaslin,Overlook
05:00-06:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
06:00-07:15,2.75,3.75,3.75,3.75,2.75,3.15,3.15
07:15-09:00,3.95,4.65,4.65,4.65,3.65,4.65,4.65
09:00-10:00,2.75,3.75,3.75,3.75,2.75,3.55,3.55
10:00-12:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
12:00-14:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
14:00-15:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
15:00-15:30,1.6,1.6,1.6,1.6,1.6,1.6,1.6
15:30-16:15,2.5,1.6,1.6,1.6,1.6,1.6,1.6
16:15-16:30,3.45,1.6,1.6,1.6,1.6,1.6,1.6
16:30-17:45,3.45,2.5,2.5,1.6,1.6,1.6,1.6
17:45-18:00,3.45,2.5,2.5,1.6,1.8,1.8,1.8
18:00-18:15,3.45,2.5,1.6,1.6,1.6,1.6,1.6
18:15-18:30,2.5,2.5,1.6,1.6,1.6,1.6,1.6
18:30-19:00,2.5,1.6,1.6,1.6,1.6,1.6,1.6
19:00-03:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
03:00-05:00,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Weekends,1.6,1.6,1.6,1.6,1.6,1.6,1.6
