I-25 North (120th Ave. to E-470),,
Northbound,,
Time of Day,ExpressToll Rate,LicensePlateToll Rate
5:00 AM-6:00 AM,$1.35,$4.05
6:00 AM-6:45 AM,$1.35,$4.05
6.45 AM-7:15 AM,$1.35,$4.05
7:15 AM-8:15 AM,$1.35,$4.05
8:15 AM-8:45 AM,$1.35,$4.05
8:45 AM-10:00 AM,$1.35,$4.05
10:00 AM-12:00 PM,$1.35,$4.05
12:00 PM-3:00 PM,$1.35,$4.05
3:00 PM-3:30 PM,$2.20,$5.40
3:30 PM-4:30 PM,$2.85,$6.40
4:30 PM-6:00 PM,$2.85,$6.40
6:00 PM-8:00 PM,$2.20,$5.40
8:00 PM-5:00 AM,$1.35,$4.05
Weekend,$1.35,$4.05
,,
I-25 North (120th Ave. to E-470),,
Southbound,,
Time of Day,ExpressToll Rate,LicensePlateToll Rate
5:00 AM-6:00 AM,$1.35,$4.05
6:00 AM-6:45 AM,$1.35,$4.05
6.45 AM-7:15 AM,$2.60,$5.95
7:15 AM-8:15 AM,$2.85,$6.40
8:15 AM-8:45 AM,$2.85,$6.40
8:45 AM-10:00 AM,$1.75,$4.55
10:00 AM-12:00 PM,$1.35,$4.05
12:00 PM-3:00 PM,$1.35,$4.05
3:00 PM-3:30 PM,$1.35,$4.05
3:30 PM-4:30 PM,$1.35,$4.05
4:30 PM-6:00 PM,$1.35,$4.05
6:00 PM-8:00 PM,$1.35,$4.05
8:00 PM-5:00 AM,$1.35,$4.05
Weekend,$1.35,$4.05
,,
I-25 North (US 36 to 120th Ave.),,
Northbound,,
Time of Day,ExpressToll Rate,LicensePlateToll Rate
5:00 AM-6:00 AM,$1.45,$4.85
6:00 AM-6:45 AM,$1.45,$4.85
6.45 AM-7:15 AM,$1.45,$4.85
7:15 AM-8:15 AM,$1.45,$4.85
8:15 AM-8:45 AM,$1.45,$4.85
8:45 AM-10:00 AM,$1.45,$4.85
10:00 AM-12:00 PM,$1.45,$4.85
12:00 PM-3:00 PM,$1.45,$4.85
3:00 PM-3:30 PM,$1.80,$5.30
3:30 PM-4:30 PM,$2.05,$5.80
4:30 PM-6:00 PM,$4.00,$8.85
6:00 PM-8:00 PM,$1.80,$5.30
8:00 PM-5:00 AM,$1.45,$4.85
Weekend,$1.80,$5.30
,,
I-25 North (US 36 to 120th Ave.),,
Southbound,,
Time of Day,ExpressToll Rate,LicensePlateToll Rate
5:00 AM-6:00 AM,$1.45,$4.85
6:00 AM-6:45 AM,$1.45,$4.85
6.45 AM-7:15 AM,$1.80,$5.30
7:15 AM-8:15 AM,$3.15,$7.40
8:15 AM-8:45 AM,$2.05,$5.80
8:45 AM-10:00 AM,$1.80,$5.30
10:00 AM-12:00 PM,$1.45,$4.85
12:00 PM-3:00 PM,$1.45,$4.85
3:00 PM-3:30 PM,$1.45,$4.85
3:30 PM-4:30 PM,$1.45,$4.85
4:30 PM-6:00 PM,$1.45,$4.85
6:00 PM-8:00 PM,$1.45,$4.85
8:00 PM-5:00 AM,$1.45,$4.85
Weekend,$1.80,$5.30
