Latitude,Longitude
39.98380786,-105.2288006
39.98362905,-105.2284359
39.98345149,-105.2280309
39.98324597,-105.2275857
39.98303429,-105.2271431
39.98287402,-105.2268174
39.98271166,-105.2264688
39.98255135,-105.226112
39.98239294,-105.2257642
39.98217508,-105.2253109
39.98196339,-105.2248523
39.98153796,-105.2239296
39.98119958,-105.2231638
39.98105262,-105.2228312
39.98089437,-105.2224865
39.98074482,-105.2221567
39.98055162,-105.2217276
39.98037487,-105.2213386
39.98019606,-105.2209658
39.97999053,-105.2205152
39.97979842,-105.2200956
39.97961961,-105.2197281
39.97943257,-105.2193499
39.97930476,-105.2190582
39.97915472,-105.218747
39.97901291,-105.218444
39.97886485,-105.2181084
39.97869837,-105.2177543
39.97854011,-105.2173842
39.9783143,-105.2169031
39.9780841,-105.2164256
39.97789324,-105.2160531
39.97770415,-105.2156374
39.97757877,-105.2153557
39.97744312,-105.2150607
39.97731774,-105.2148166
39.97722114,-105.2146476
39.97709781,-105.2143848
39.9769971,-105.2141407
39.97689052,-105.2139216
39.97679597,-105.2137044
39.9766747,-105.2134576
39.97656987,-105.2132055
39.97646299,-105.212948
39.97633967,-105.2127066
39.97623279,-105.2124759
39.97609224,-105.2121832
39.9759648,-105.2119015
39.97583737,-105.2116119
39.9756976,-105.2112927
39.97553933,-105.2109601
39.97538723,-105.2106221
39.97518605,-105.2102298
39.974999,-105.2098248
39.97476468,-105.2092991
39.97451392,-105.2087117
39.97424054,-105.2080545
39.9739425,-105.2073518
39.97341629,-105.2059678
39.97296753,-105.2048765
39.97256054,-105.2037929
39.97223988,-105.2029453
39.97189044,-105.2020762
39.97161911,-105.2013413
39.97129433,-105.2005474
39.97100655,-105.1997749
39.97057658,-105.1987135
39.9702888,-105.1979839
39.9699969,-105.1972329
39.96971734,-105.1965463
39.96948711,-105.1959025
39.96909244,-105.1949155
39.96886221,-105.1942771
39.96859908,-105.1935851
39.96838119,-105.1930057
39.96814684,-105.1924103
39.96789605,-105.1917827
39.96770344,-105.1913343
39.96751432,-105.1908354
39.96730053,-105.190299
39.96714429,-105.1899181
39.96697162,-105.1894246
39.96669616,-105.1886574
39.96636313,-105.1877401
39.96603833,-105.1869033
39.96578366,-105.1862328
39.96540129,-105.1853208
39.96506415,-105.1844893
39.96478782,-105.1837671
39.96443012,-105.1828927
39.96415465,-105.1821524
39.96395318,-105.1816359
39.9637476,-105.1811531
39.96353816,-105.1806255
39.96321334,-105.1797833
39.96286386,-105.1788982
39.96246332,-105.1778392
39.96215083,-105.1771096
39.96184657,-105.1762835
39.96157258,-105.1755885
39.96126832,-105.1747892
39.96093116,-105.1739202
39.96058577,-105.1730565
39.96024038,-105.1721982
39.96002657,-105.1716833
39.95981276,-105.1710824
39.95964828,-105.1705889
39.95946736,-105.1701383
39.95930289,-105.1697521
39.95913842,-105.1693014
39.95896186,-105.1689051
39.95869459,-105.1682131
39.95843143,-105.1675479
39.95821761,-105.1669739
39.95795445,-105.1662712
39.95780442,-105.1658877
39.9575906,-105.1653352
39.95744668,-105.1649543
39.95723697,-105.1644447
39.95702845,-105.1639316
39.95680641,-105.1634649
39.95662137,-105.162966
39.95637876,-105.1624511
39.95606965,-105.1619185
39.95583526,-105.1614733
39.95554742,-105.1609744
39.95526885,-105.1605277
39.9550468,-105.1602273
39.95483708,-105.1598732
