lat,lng,Express Lane Name,Time of Day,Express Toll,Liscense Plate Toll
39.974969,-105.209668,Overlook - (East Bound),05:00-06:00,,
39.967102,-105.189715,Overlook - (East Bound),,,
,,,,,
,,,,,
39.963792,-105.181201,McCaslin - (East Bound),,,
39.946723,-105.148732,McCaslin (East Bound),,,
39.941911,-105.141316,Interlocken (East Bound),,,
39.925987,-105.113144,Interlocken (East Bound),,,
39.921738,-105.105969,Wadsworth (East Bound),,,
39.90502,-105.084096,Wadsworth (East Bound),,,
39.89772,-105.079162,Promenade (East Bound),,,
39.88132,-105.067661,Promenade (East Bound),,,
39.874191,-105.06241,Sheridan (East Bound),,,
39.849268,-105.047008,Sheridan (East Bound),,,
39.842811,-105.040413,Lowell (East Bound),,,
39.834807,-105.02056,Lowell (East Bound),,,
